Word,E[I]
tares,6.194226640047031
lares,6.150099641547228
rales,6.114222545555714
rates,6.096134764893258
teras,6.07690155746833
nares,6.067449403726547
soare,6.061508015137109
tales,6.054743952692028
reais,6.049679825269149
tears,6.032242820540562
arles,6.029534982396112
tores,6.018419713388626
salet,6.0166049468935014
aeros,6.013685693484096
dares,6.010513713512872
reals,5.999041987716623
lears,5.988690787786636
lores,5.977086519338508
serai,5.9738995324363255
lanes,5.971286968371459
laers,5.9689440884246014
pares,5.96753160258437
cares,5.966591937162781
tires,5.963363988911771
saine,5.96272650621515
seral,5.953932586329753
mares,5.952006011912107
reans,5.951116233079341
aloes,5.944517028429678
sared,5.942792440486926
roles,5.941925157952631
teals,5.938016592980175
aures,5.930443542683765
earls,5.926840330218419
taels,5.920721014179483
tries,5.919046385981952
rotes,5.917213130433473
sorel,5.916803075909866
leats,5.911986226150359
nears,5.905521246913998
toeas,5.905109537437187
strae,5.898049614619687
rones,5.896496511217898
nates,5.895528671176374
earns,5.885370889064516
taser,5.883232444452385
toles,5.882381024567354
dales,5.882123510095654
taros,5.8817031059198825
riles,5.880754697195393
arets,5.879757385510081
hares,5.877489557317866
toras,5.87414510096318
dears,5.865145057890639
soler,5.864604048752624
gares,5.862602003782102
bares,5.861921543222241
raits,5.8602622952485035
races,5.858919794286559
rites,5.858585245010378
laris,5.855156145315964
rapes,5.854080872393647
leans,5.850880850697368
aeons,5.843112485764734
dores,5.837418550706246
rails,5.837022801110204
pales,5.83300073081002
tones,5.831841312162895
rines,5.829921528579925
laser,5.829619190670471
dates,5.8259323820634705
tiles,5.822439051020596
lairs,5.820516959261407
reads,5.819804601119916
males,5.818902691298294
orles,5.817098928858776
leirs,5.815118366957881
lotes,5.814750978004182
neats,5.814033112236626
lades,5.8139525701346155
neals,5.811937407152119
pears,5.804922572812798
siler,5.8028118764599785
tiars,5.801070827643188
setal,5.7970945994171466
slane,5.795749248336839
pores,5.794164642445713
cores,5.79347587773347
ratos,5.791005598388173
solei,5.789965261075444
liras,5.78896591838896
roues,5.787026631939231
airts,5.7865821485377
pates,5.783493098621889
tames,5.782877244589093
cates,5.782525906632315
mores,5.781486238082067
reast,5.78132099997921
resat,5.781087868163444
rotas,5.781042384485368
ranis,5.7804029685120515
salue,5.780323988218415
rains,5.779270659133964
deals,5.777071863864038
taces,5.775910916375267
slier,5.775223855299798
naris,5.772963750277465
rials,5.772942182550003
canes,5.7729334009170925
tarns,5.7727425084911435
tiers,5.772511640586392
tails,5.772439046389696
rages,5.771632104032437
panes,5.7715137413845445
sored,5.771152044963983
stoae,5.771008172413769
apres,5.770291818632514
tapes,5.768443877894978
roans,5.76796820677017
lames,5.766988761865833
antes,5.766465525529818
aides,5.765718469636602
mates,5.765530917514961
tines,5.765032105461136
sarge,5.76477726148095
sated,5.764151334488604
ayres,5.763487243325316
reins,5.76277364783209
sorta,5.762320362354197
saned,5.762219365048604
teils,5.759752302999414
noles,5.7586744922960955
laces,5.758139596349091
lites,5.756308527935426
braes,5.7561688646082825
saice,5.756073138093562
aesir,5.755078730192557
sarin,5.7550269316451415
manes,5.755017506948437
liars,5.753405185231316
acres,5.752564580102743
terns,5.750924795628043
reaps,5.750146007699076
renos,5.747676297768283
daris,5.747388884498942
eards,5.74591782915016
reams,5.744097377533955
riels,5.743569571521498
hales,5.741741926013061
serin,5.741465220470957
soral,5.741290355330236
raile,5.739939729089511
claes,5.739178684165562
telos,5.737367720906732
torse,5.7371039850289876
aunes,5.736666422674175
sayer,5.735798468083009
eorls,5.735124944084351
dries,5.734993884032861
seron,5.7333161661755865
cires,5.732704259601139
lines,5.732471598852717
tolas,5.730525864585256
yales,5.729915681987635
roset,5.729739887254456
gales,5.728916166330111
liers,5.727983653783435
rodes,5.727982009711424
teads,5.72759329295816
kaies,5.726429132423559
bales,5.725016498723017
airns,5.723985126003294
roate,5.723416586899828
mires,5.723060689808628
leads,5.722159220792112
serac,5.7211845019492795
notes,5.719470198292966
rakes,5.718860438978519
peals,5.716121427305061
salep,5.715822111196588
stear,5.715483293086911
deros,5.715386297068208
deans,5.714431077406793
hears,5.714426096365266
sired,5.71106038184876
samel,5.709699477032398
pelas,5.709670870441722
doles,5.709338044097031
tains,5.708615097103165
rants,5.7084370647311875
earst,5.706776667728375
larns,5.706390214407456
meals,5.705575680453947
arils,5.705070400613766
carse,5.702871027165376
lures,5.702745964928316
rased,5.702460489020428
wares,5.700170036664069
saree,5.700036055112421
melas,5.699904120279962
gears,5.699622300359636
scrae,5.699039685231835
senor,5.69861951157498
sabre,5.697862793337132
peats,5.696959756198222
bears,5.6969436514746326
silen,5.69508637137144
artis,5.694978919681714
sager,5.694454297580854
years,5.694115019545313
stane,5.6928145518087625
trues,5.6927930096080415
teins,5.692631392707738
fares,5.692501976587162
sitar,5.692343660513671
pries,5.691283781541657
hates,5.690844652607593
gores,5.690511642591547
yores,5.69025731250291
bores,5.6898702725463455
raine,5.688356634453281
cries,5.687403096533803
meats,5.686453402547936
marse,5.684088157041066
saber,5.683382763068081
ureas,5.682801968800913
kales,5.6826547633098965
nerts,5.680416010033415
yates,5.6787109122505495
sarod,5.676924908129522
ropes,5.67622614810404
bates,5.67558980570973
tabes,5.675455427466797
gates,5.674834445544286
rents,5.673518895855137
satem,5.6706231370369835
rides,5.670380369474326
taler,5.670343161450476
spaer,5.669807645496247
raids,5.669771600409831
paris,5.668975041756364
rules,5.6676885315295475
names,5.667505816879074
banes,5.666361501999917
orals,5.666115740859005
lotas,5.665963436086653
darts,5.664821264077215
poles,5.662613481916852
almes,5.661101966988654
doers,5.660855264668385
samen,5.660721161297709
loans,5.660685743597365
amies,5.66047077079653
stire,5.659191004581523
slade,5.659189621440594
nites,5.658916244236166
coles,5.658165858598875
teams,5.65805202406126
lenis,5.656444455990023
tiros,5.653956762347902
napes,5.653743581241273
leaps,5.653739272869704
peris,5.653592554202588
ceros,5.6529456413178725
lenos,5.651852074057321
loris,5.650927574489953
moles,5.650639441126504
nails,5.649484160246172
dotes,5.648768638229286
roads,5.648557401784822
leams,5.648449690737696
tepas,5.647110891539484
peans,5.646648690699203
tians,5.646317669854858
kores,5.6461926504843225
hires,5.646071825939044
soled,5.645107447668552
meris,5.644060608181984
trans,5.642623059910845
salto,5.641420432960795
saker,5.641251818221524
toise,5.640023442912111
tinas,5.6386578010881
pairs,5.6385301338412015
reaks,5.637800346722975
lodes,5.637239398880538
means,5.636099557915142
maser,5.633711814218392
blaes,5.633020816568886
moras,5.632867917144215
roils,5.631582099873662
tesla,5.630985990818734
riots,5.629949172241745
heals,5.629791044292666
rimes,5.629414103089978
elans,5.6287738144092225
kanes,5.627851670894401
takes,5.62746784588073
litas,5.6270258156064665
tased,5.625356750920504
mairs,5.624948690906852
ariel,5.623469597421094
runes,5.622131342442854
ratel,5.619537567945756
loirs,5.619311376770539
arsed,5.618901453100433
darns,5.618870865533256
rices,5.618707725752354
