Word,E[I]
saner,5.999496759476149
raise,5.919663514608615
slate,5.870917468985224
stare,5.835939860611656
snare,5.835309822236471
siren,5.834421471694375
saute,5.799501398908043
arise,5.776461223789429
arose,5.754625123370852
stale,5.749975484143728
solar,5.742343609652883
aisle,5.723747432691015
sonar,5.706867977741387
parse,5.70060391266592
least,5.6789052106295355
store,5.676176487743049
snore,5.674938622547603
loser,5.655807736122951
saint,5.654715679542159
spare,5.6524677446748735
share,5.641364845221161
scare,5.6374122717449655
later,5.605988372578788
sedan,5.595883018866278
satin,5.592105008110922
roast,5.591153320195513
salon,5.588714597005949
steal,5.587207192341346
stole,5.586605409839655
risen,5.57611184197444
stair,5.575904523376463
caste,5.571676767945741
paste,5.567166624029646
suite,5.564407409505262
shale,5.563627254721751
sepia,5.562838768514679
scale,5.555127248829866
irate,5.554590325155991
rinse,5.549933278438681
spear,5.531135093974692
smear,5.53031953652685
stone,5.528108813274467
shear,5.526966586602536
sauce,5.525619965034759
safer,5.523435786250673
noise,5.519677029611257
sober,5.510101778124021
slain,5.509227065881797
rouse,5.502466172792786
spore,5.4953000747546845
alter,5.492613037605182
shore,5.48826078775187
lapse,5.4872286361534055
haste,5.48649992359829
learn,5.482539078151532
resin,5.481936168911406
score,5.481615754958204
poser,5.479686544992835
slide,5.4758838028163455
torus,5.472734824014498
spire,5.472181090711258
alien,5.468148222698135
stead,5.465011419145235
shire,5.464805678297135
baste,5.457755315210631
renal,5.455875953695898
slant,5.455051250031092
snail,5.451844783326177
paler,5.447407484868559
slope,5.439823671940082
cater,5.436781905272001
skate,5.434482764698068
trade,5.434072328459845
horse,5.426663107273439
leant,5.424896209909639
aider,5.423797522902511
tamer,5.42259530572625
crate,5.420284598199908
salty,5.419821540891542
snarl,5.419542038831389
spiel,5.419097965710083
slice,5.417502492668547
slime,5.4135731514161645
taper,5.413143110991514
poise,5.407609436106979
stain,5.405848496303453
alone,5.405744690746113
smote,5.403004261320968
prose,5.402006496226206
alert,5.40112290240035
miser,5.401043095807678
since,5.4002648539735345
teary,5.3991084045586994
louse,5.398220712982441
stage,5.388487709604477
smile,5.388184708263942
arson,5.387637821769742
spite,5.3866395892787295
smite,5.385218482858617
stern,5.382301286840971
snake,5.3800131929964765
trace,5.379372971094851
stein,5.376606590955927
cause,5.3750085033542945
pause,5.3742615750214195
large,5.370406515864348
skier,5.369956389048605
tread,5.369146987193792
leash,5.367901437815765
snide,5.366838589963488
ramen,5.364616726480743
satyr,5.3642116090493115
yeast,5.364100211352855
stake,5.363427630671992
onset,5.360179275156221
sower,5.359456442678202
solid,5.3583064732178025
beast,5.356469670569156
relay,5.354228472082356
layer,5.354041459591959
spade,5.352287583556939
dealt,5.350456265021195
shade,5.350407802058692
crane,5.348351632662389
canoe,5.346342260630035
tenor,5.344249608286815
snort,5.343623243802604
hater,5.341850202433025
ratio,5.341473941069976
shone,5.34124908463461
baler,5.340272853472913
stray,5.340103676581267
react,5.3395554244330015
route,5.339383364915793
liner,5.336954755268205
salve,5.3347937908731
pearl,5.3343810799577875
aside,5.332588707068278
steam,5.331770309319893
atone,5.330627322568043
scone,5.329743599280864
staid,5.327306675015802
super,5.327002483914378
laden,5.323119398274204
tried,5.319690169851294
smart,5.319663419387492
swear,5.316114860784248
adore,5.315577356282138
panel,5.315091265338986
nurse,5.3146850985127685
spine,5.314641314251945
shine,5.311590399204586
snipe,5.30747072067549
waste,5.306799913154647
singe,5.3059275557250976
heart,5.304383009828857
grate,5.3032216786295185
trail,5.302660700614973
islet,5.297486532107706
serif,5.297193448829154
shape,5.2950989526027294
early,5.29319789684293
space,5.292539021091873
trial,5.291559483244486
lager,5.289336635891647
false,5.285911134262817
train,5.285405747193532
shame,5.284158073973548
realm,5.283488987829046
range,5.28312804492995
surge,5.280147328399399
delta,5.280017128162256
nosey,5.278601216274997
swore,5.277275147878021
plate,5.276847089272843
close,5.276666206180182
tease,5.275360225856721
serum,5.273366072148366
coast,5.273319477504868
taker,5.272185355293861
lance,5.271370723205423
shoal,5.26700153119057
lease,5.260231567189213
strap,5.257386921945523
sneak,5.25276251398353
glare,5.249528544743788
drone,5.24931308568282
yearn,5.248429311475131
blare,5.245672276031149
shied,5.2435100596925714
worse,5.243454484954151
spied,5.243128416010912
table,5.2412445717791565
sweat,5.238382053242475
shalt,5.2356031770012255
steak,5.234775555289302
triad,5.231702336535612
diner,5.230163253071625
splat,5.229663297762618
clear,5.228494091669359
leapt,5.225697629530552
slept,5.22488622352497
earth,5.220141714562775
merit,5.2187819175047165
sadly,5.217686584339747
talon,5.217232565138455
curse,5.215814768632238
pesto,5.2150512186532465
purse,5.213641351951997
those,5.20861522113727
tonal,5.206717012900262
meant,5.206459917176952
lathe,5.2060360909858625
drape,5.205545731705643
plane,5.205444069928059
easel,5.204594538821988
trope,5.203665742015163
heist,5.203161814613045
erase,5.20304180555823
stoke,5.200627673567368
stand,5.199300488882654
sinew,5.196085048105861
spelt,5.195575409553542
trice,5.195418881693222
petal,5.194907724858335
crest,5.1946132969978835
caper,5.193137276698231
ready,5.193102834048301
feast,5.1918758850670725
soapy,5.191330003678583
smelt,5.188953893541312
timer,5.188265305027572
rebus,5.187923283184765
tripe,5.187567829273209
plier,5.1858330557952925
peril,5.185606884686445
cadet,5.185606707109657
great,5.183037837397334
borne,5.182250051471265
shake,5.181409016324123
radio,5.180709921925719
penal,5.180494642671756
